sample,locus,field,genotyper,accuracy
INCOV031-AC,B,field_1,arcasHLA,1
INCOV031-AC,B,field_1,hlaminer,1
INCOV031-AC,B,field_1,optitype,1
INCOV031-AC,B,field_1,phlat,1
INCOV031-AC,B,field_2,arcasHLA,1
INCOV031-AC,B,field_2,hlaminer,0
INCOV031-AC,B,field_2,optitype,1
INCOV031-AC,B,field_2,phlat,1
INCOV031-AC,B,field_3,arcasHLA,1
INCOV031-AC,B,field_3,hlaminer,0
INCOV031-AC,B,field_3,optitype,0
INCOV031-AC,B,field_3,phlat,1
INCOV031-AC,C,field_1,arcasHLA,1
INCOV031-AC,C,field_1,hlaminer,0.5
INCOV031-AC,C,field_1,optitype,1
INCOV031-AC,C,field_1,phlat,1
INCOV031-AC,C,field_2,arcasHLA,1
INCOV031-AC,C,field_2,hlaminer,0.5
INCOV031-AC,C,field_2,optitype,1
INCOV031-AC,C,field_2,phlat,1
INCOV031-AC,C,field_3,arcasHLA,1
INCOV031-AC,C,field_3,hlaminer,0
INCOV031-AC,C,field_3,optitype,0
INCOV031-AC,C,field_3,phlat,0.5
INCOV031-AC,DPA1,field_1,arcasHLA,1
INCOV031-AC,DPA1,field_1,hlaminer,0.5
INCOV031-AC,DPA1,field_1,optitype,0
INCOV031-AC,DPA1,field_1,phlat,0
INCOV031-AC,DPA1,field_2,arcasHLA,1
INCOV031-AC,DPA1,field_2,hlaminer,0.5
INCOV031-AC,DPA1,field_2,optitype,0
INCOV031-AC,DPA1,field_2,phlat,0
INCOV031-AC,DPA1,field_3,arcasHLA,1
INCOV031-AC,DPA1,field_3,hlaminer,0
INCOV031-AC,DPA1,field_3,optitype,0
INCOV031-AC,DPA1,field_3,phlat,0
INCOV031-AC,DPB1,field_1,arcasHLA,1
INCOV031-AC,DPB1,field_1,hlaminer,1
INCOV031-AC,DPB1,field_1,optitype,0
INCOV031-AC,DPB1,field_1,phlat,0
INCOV031-AC,DPB1,field_2,arcasHLA,1
INCOV031-AC,DPB1,field_2,hlaminer,1
INCOV031-AC,DPB1,field_2,optitype,0
INCOV031-AC,DPB1,field_2,phlat,0
INCOV031-AC,DPB1,field_3,arcasHLA,1
INCOV031-AC,DPB1,field_3,hlaminer,0
INCOV031-AC,DPB1,field_3,optitype,0
INCOV031-AC,DPB1,field_3,phlat,0
INCOV031-AC,DQA1,field_1,arcasHLA,1
INCOV031-AC,DQA1,field_1,hlaminer,0.5
INCOV031-AC,DQA1,field_1,optitype,0
INCOV031-AC,DQA1,field_1,phlat,1
INCOV031-AC,DQA1,field_2,arcasHLA,1
INCOV031-AC,DQA1,field_2,hlaminer,0
INCOV031-AC,DQA1,field_2,optitype,0
INCOV031-AC,DQA1,field_2,phlat,1
INCOV031-AC,DQA1,field_3,arcasHLA,1
INCOV031-AC,DQA1,field_3,hlaminer,0
INCOV031-AC,DQA1,field_3,optitype,0
INCOV031-AC,DQA1,field_3,phlat,1
INCOV031-AC,DQB1,field_1,arcasHLA,1
INCOV031-AC,DQB1,field_1,hlaminer,1
INCOV031-AC,DQB1,field_1,optitype,0
INCOV031-AC,DQB1,field_1,phlat,1
INCOV031-AC,DQB1,field_2,arcasHLA,1
INCOV031-AC,DQB1,field_2,hlaminer,0.5
INCOV031-AC,DQB1,field_2,optitype,0
INCOV031-AC,DQB1,field_2,phlat,1
INCOV031-AC,DQB1,field_3,arcasHLA,1
INCOV031-AC,DQB1,field_3,hlaminer,0
INCOV031-AC,DQB1,field_3,optitype,0
INCOV031-AC,DQB1,field_3,phlat,1
INCOV031-AC,DRB1,field_1,arcasHLA,1
INCOV031-AC,DRB1,field_1,hlaminer,0
INCOV031-AC,DRB1,field_1,optitype,0
INCOV031-AC,DRB1,field_1,phlat,1
INCOV031-AC,DRB1,field_2,arcasHLA,1
INCOV031-AC,DRB1,field_2,hlaminer,0
INCOV031-AC,DRB1,field_2,optitype,0
INCOV031-AC,DRB1,field_2,phlat,1
INCOV031-AC,DRB1,field_3,arcasHLA,1
INCOV031-AC,DRB1,field_3,hlaminer,0
INCOV031-AC,DRB1,field_3,optitype,0
INCOV031-AC,DRB1,field_3,phlat,0.5
INCOV031-AC,DRB5,field_1,arcasHLA,1
INCOV031-AC,DRB5,field_1,hlaminer,1
INCOV031-AC,DRB5,field_1,optitype,0
INCOV031-AC,DRB5,field_1,phlat,0
INCOV031-AC,DRB5,field_2,arcasHLA,1
INCOV031-AC,DRB5,field_2,hlaminer,0
INCOV031-AC,DRB5,field_2,optitype,0
INCOV031-AC,DRB5,field_2,phlat,0
INCOV031-AC,DRB5,field_3,arcasHLA,1
INCOV031-AC,DRB5,field_3,hlaminer,0
INCOV031-AC,DRB5,field_3,optitype,0
INCOV031-AC,DRB5,field_3,phlat,0
INCOV031-BL,A,field_1,arcasHLA,1
INCOV031-BL,A,field_1,hlaminer,1
INCOV031-BL,A,field_1,optitype,1
INCOV031-BL,A,field_1,phlat,1
INCOV031-BL,A,field_2,arcasHLA,1
INCOV031-BL,A,field_2,hlaminer,0.5
INCOV031-BL,A,field_2,optitype,1
INCOV031-BL,A,field_2,phlat,1
INCOV031-BL,A,field_3,arcasHLA,1
INCOV031-BL,A,field_3,hlaminer,0
INCOV031-BL,A,field_3,optitype,0
INCOV031-BL,A,field_3,phlat,0
INCOV031-BL,B,field_1,arcasHLA,1
INCOV031-BL,B,field_1,hlaminer,1
INCOV031-BL,B,field_1,optitype,1
INCOV031-BL,B,field_1,phlat,1
INCOV031-BL,B,field_2,arcasHLA,1
INCOV031-BL,B,field_2,hlaminer,0.5
INCOV031-BL,B,field_2,optitype,1
INCOV031-BL,B,field_2,phlat,1
INCOV031-BL,B,field_3,arcasHLA,1
INCOV031-BL,B,field_3,hlaminer,0
INCOV031-BL,B,field_3,optitype,0
INCOV031-BL,B,field_3,phlat,1
INCOV031-BL,C,field_1,arcasHLA,1
INCOV031-BL,C,field_1,hlaminer,0.5
INCOV031-BL,C,field_1,optitype,1
INCOV031-BL,C,field_1,phlat,1
INCOV031-BL,C,field_2,arcasHLA,1
INCOV031-BL,C,field_2,hlaminer,0
INCOV031-BL,C,field_2,optitype,1
INCOV031-BL,C,field_2,phlat,1
INCOV031-BL,C,field_3,arcasHLA,1
INCOV031-BL,C,field_3,hlaminer,0
INCOV031-BL,C,field_3,optitype,0
INCOV031-BL,C,field_3,phlat,0.5
INCOV031-BL,DPA1,field_1,arcasHLA,1
INCOV031-BL,DPA1,field_1,hlaminer,0.5
INCOV031-BL,DPA1,field_1,optitype,0
INCOV031-BL,DPA1,field_1,phlat,0
INCOV031-BL,DPA1,field_2,arcasHLA,1
INCOV031-BL,DPA1,field_2,hlaminer,0.5
INCOV031-BL,DPA1,field_2,optitype,0
INCOV031-BL,DPA1,field_2,phlat,0
INCOV031-BL,DPA1,field_3,arcasHLA,1
INCOV031-BL,DPA1,field_3,hlaminer,0
INCOV031-BL,DPA1,field_3,optitype,0
INCOV031-BL,DPA1,field_3,phlat,0
INCOV031-BL,DPB1,field_1,arcasHLA,1
INCOV031-BL,DPB1,field_1,hlaminer,1
INCOV031-BL,DPB1,field_1,optitype,0
INCOV031-BL,DPB1,field_1,phlat,0
INCOV031-BL,DPB1,field_2,arcasHLA,1
INCOV031-BL,DPB1,field_2,hlaminer,1
INCOV031-BL,DPB1,field_2,optitype,0
INCOV031-BL,DPB1,field_2,phlat,0
INCOV031-BL,DPB1,field_3,arcasHLA,1
INCOV031-BL,DPB1,field_3,hlaminer,0
INCOV031-BL,DPB1,field_3,optitype,0
INCOV031-BL,DPB1,field_3,phlat,0
INCOV031-BL,DQA1,field_1,arcasHLA,1
INCOV031-BL,DQA1,field_1,hlaminer,0.5
INCOV031-BL,DQA1,field_1,optitype,0
INCOV031-BL,DQA1,field_1,phlat,1
INCOV031-BL,DQA1,field_2,arcasHLA,1
INCOV031-BL,DQA1,field_2,hlaminer,0
INCOV031-BL,DQA1,field_2,optitype,0
INCOV031-BL,DQA1,field_2,phlat,1
INCOV031-BL,DQA1,field_3,arcasHLA,1
INCOV031-BL,DQA1,field_3,hlaminer,0
INCOV031-BL,DQA1,field_3,optitype,0
INCOV031-BL,DQA1,field_3,phlat,1
INCOV031-BL,DQB1,field_1,arcasHLA,1
INCOV031-BL,DQB1,field_1,hlaminer,1
INCOV031-BL,DQB1,field_1,optitype,0
INCOV031-BL,DQB1,field_1,phlat,1
INCOV031-BL,DQB1,field_2,arcasHLA,1
INCOV031-BL,DQB1,field_2,hlaminer,1
INCOV031-BL,DQB1,field_2,optitype,0
INCOV031-BL,DQB1,field_2,phlat,1
INCOV031-BL,DQB1,field_3,arcasHLA,1
INCOV031-BL,DQB1,field_3,hlaminer,0
INCOV031-BL,DQB1,field_3,optitype,0
INCOV031-BL,DQB1,field_3,phlat,1
INCOV031-BL,DRB1,field_1,arcasHLA,1
INCOV031-BL,DRB1,field_1,hlaminer,0.5
INCOV031-BL,DRB1,field_1,optitype,0
INCOV031-BL,DRB1,field_1,phlat,1
INCOV031-BL,DRB1,field_2,arcasHLA,1
INCOV031-BL,DRB1,field_2,hlaminer,0
INCOV031-BL,DRB1,field_2,optitype,0
INCOV031-BL,DRB1,field_2,phlat,1
INCOV031-BL,DRB1,field_3,arcasHLA,1
INCOV031-BL,DRB1,field_3,hlaminer,0
INCOV031-BL,DRB1,field_3,optitype,0
INCOV031-BL,DRB1,field_3,phlat,0.5
INCOV031-BL,DRB5,field_1,arcasHLA,1
INCOV031-BL,DRB5,field_1,hlaminer,1
INCOV031-BL,DRB5,field_1,optitype,0
INCOV031-BL,DRB5,field_1,phlat,0
INCOV031-BL,DRB5,field_2,arcasHLA,1
INCOV031-BL,DRB5,field_2,hlaminer,1
INCOV031-BL,DRB5,field_2,optitype,0
INCOV031-BL,DRB5,field_2,phlat,0
INCOV031-BL,DRB5,field_3,arcasHLA,1
INCOV031-BL,DRB5,field_3,hlaminer,0
INCOV031-BL,DRB5,field_3,optitype,0
INCOV031-BL,DRB5,field_3,phlat,0
INCOV032-AC,A,field_1,arcasHLA,1
INCOV032-AC,A,field_1,hlaminer,0.5
INCOV032-AC,A,field_1,optitype,1
INCOV032-AC,A,field_1,phlat,1
INCOV032-AC,A,field_2,arcasHLA,0.5
INCOV032-AC,A,field_2,hlaminer,0.5
INCOV032-AC,A,field_2,optitype,1
INCOV032-AC,A,field_2,phlat,1
INCOV032-AC,A,field_3,arcasHLA,0
INCOV032-AC,A,field_3,hlaminer,0
INCOV032-AC,A,field_3,optitype,0
INCOV032-AC,A,field_3,phlat,1
INCOV032-AC,B,field_1,arcasHLA,1
INCOV032-AC,B,field_1,hlaminer,0.5
INCOV032-AC,B,field_1,optitype,0.5
INCOV032-AC,B,field_1,phlat,1
INCOV032-AC,B,field_2,arcasHLA,1
INCOV032-AC,B,field_2,hlaminer,0.5
INCOV032-AC,B,field_2,optitype,0.5
INCOV032-AC,B,field_2,phlat,1
INCOV032-AC,B,field_3,arcasHLA,1
INCOV032-AC,B,field_3,hlaminer,0
INCOV032-AC,B,field_3,optitype,0
INCOV032-AC,B,field_3,phlat,1
INCOV032-AC,C,field_1,arcasHLA,0.5
INCOV032-AC,C,field_1,optitype,1
INCOV032-AC,C,field_1,phlat,1
INCOV032-AC,C,field_2,arcasHLA,0.5
INCOV032-AC,C,field_2,optitype,1
INCOV032-AC,C,field_2,phlat,1
INCOV032-AC,C,field_3,arcasHLA,0
INCOV032-AC,C,field_3,hlaminer,0
INCOV032-AC,C,field_3,optitype,0
INCOV032-AC,C,field_3,phlat,0
INCOV032-AC,DPA1,field_1,arcasHLA,1
INCOV032-AC,DPA1,field_1,hlaminer,0.5
INCOV032-AC,DPA1,field_1,optitype,0
INCOV032-AC,DPA1,field_1,phlat,0
INCOV032-AC,DPA1,field_2,arcasHLA,1
INCOV032-AC,DPA1,field_2,hlaminer,0.5
INCOV032-AC,DPA1,field_2,optitype,0
INCOV032-AC,DPA1,field_2,phlat,0
INCOV032-AC,DPA1,field_3,arcasHLA,1
INCOV032-AC,DPA1,field_3,hlaminer,0
INCOV032-AC,DPA1,field_3,optitype,0
INCOV032-AC,DPA1,field_3,phlat,0
INCOV032-AC,DPB1,field_1,arcasHLA,1
INCOV032-AC,DPB1,field_1,hlaminer,0.5
INCOV032-AC,DPB1,field_1,optitype,0
INCOV032-AC,DPB1,field_1,phlat,0
INCOV032-AC,DPB1,field_2,arcasHLA,1
INCOV032-AC,DPB1,field_2,hlaminer,0.5
INCOV032-AC,DPB1,field_2,optitype,0
INCOV032-AC,DPB1,field_2,phlat,0
INCOV032-AC,DPB1,field_3,arcasHLA,1
INCOV032-AC,DPB1,field_3,hlaminer,0
INCOV032-AC,DPB1,field_3,optitype,0
INCOV032-AC,DPB1,field_3,phlat,0
INCOV032-AC,DQA1,field_1,arcasHLA,1
INCOV032-AC,DQA1,field_1,hlaminer,1
INCOV032-AC,DQA1,field_1,optitype,0
INCOV032-AC,DQA1,field_1,phlat,1
INCOV032-AC,DQA1,field_2,arcasHLA,1
INCOV032-AC,DQA1,field_2,hlaminer,0.5
INCOV032-AC,DQA1,field_2,optitype,0
INCOV032-AC,DQA1,field_2,phlat,0.5
INCOV032-AC,DQA1,field_3,arcasHLA,1
INCOV032-AC,DQA1,field_3,hlaminer,0
INCOV032-AC,DQA1,field_3,optitype,0
INCOV032-AC,DQA1,field_3,phlat,0.5
INCOV032-AC,DQB1,field_1,arcasHLA,1
INCOV032-AC,DQB1,field_1,hlaminer,0.5
INCOV032-AC,DQB1,field_1,optitype,0
INCOV032-AC,DQB1,field_1,phlat,1
INCOV032-AC,DQB1,field_2,arcasHLA,1
INCOV032-AC,DQB1,field_2,hlaminer,0.5
INCOV032-AC,DQB1,field_2,optitype,0
INCOV032-AC,DQB1,field_2,phlat,1
INCOV032-AC,DQB1,field_3,arcasHLA,1
INCOV032-AC,DQB1,field_3,hlaminer,0
INCOV032-AC,DQB1,field_3,optitype,0
INCOV032-AC,DQB1,field_3,phlat,1
INCOV032-AC,DRB1,field_1,arcasHLA,1
INCOV032-AC,DRB1,field_1,hlaminer,1
INCOV032-AC,DRB1,field_1,optitype,0
INCOV032-AC,DRB1,field_1,phlat,1
INCOV032-AC,DRB1,field_2,arcasHLA,1
INCOV032-AC,DRB1,field_2,hlaminer,0.5
INCOV032-AC,DRB1,field_2,optitype,0
INCOV032-AC,DRB1,field_2,phlat,0.5
INCOV032-AC,DRB1,field_3,arcasHLA,1
INCOV032-AC,DRB1,field_3,hlaminer,0
INCOV032-AC,DRB1,field_3,optitype,0
INCOV032-AC,DRB1,field_3,phlat,0.5
INCOV032-AC,DRB3,field_1,arcasHLA,1
INCOV032-AC,DRB3,field_1,hlaminer,1
INCOV032-AC,DRB3,field_1,optitype,0
INCOV032-AC,DRB3,field_1,phlat,0
INCOV032-AC,DRB3,field_2,arcasHLA,1
INCOV032-AC,DRB3,field_2,hlaminer,1
INCOV032-AC,DRB3,field_2,optitype,0
INCOV032-AC,DRB3,field_2,phlat,0
INCOV032-AC,DRB3,field_3,arcasHLA,1
INCOV032-AC,DRB3,field_3,hlaminer,0
INCOV032-AC,DRB3,field_3,optitype,0
INCOV032-AC,DRB3,field_3,phlat,0
INCOV032-AC,DRB4,field_1,arcasHLA,1
INCOV032-AC,DRB4,field_1,hlaminer,1
INCOV032-AC,DRB4,field_1,optitype,0
INCOV032-AC,DRB4,field_1,phlat,0
INCOV032-AC,DRB4,field_2,arcasHLA,1
INCOV032-AC,DRB4,field_2,hlaminer,0
INCOV032-AC,DRB4,field_2,optitype,0
INCOV032-AC,DRB4,field_2,phlat,0
INCOV032-AC,DRB4,field_3,arcasHLA,1
INCOV032-AC,DRB4,field_3,hlaminer,0
INCOV032-AC,DRB4,field_3,optitype,0
INCOV032-AC,DRB4,field_3,phlat,0
INCOV032-BL,A,field_1,arcasHLA,1
INCOV032-BL,A,field_1,hlaminer,0.5
INCOV032-BL,A,field_1,optitype,1
INCOV032-BL,A,field_1,phlat,1
INCOV032-BL,A,field_2,arcasHLA,0
INCOV032-BL,A,field_2,hlaminer,0
INCOV032-BL,A,field_2,optitype,1
INCOV032-BL,A,field_2,phlat,1
INCOV032-BL,A,field_3,arcasHLA,0
INCOV032-BL,A,field_3,hlaminer,0
INCOV032-BL,A,field_3,optitype,0
INCOV032-BL,A,field_3,phlat,1
INCOV032-BL,B,field_1,arcasHLA,1
INCOV032-BL,B,field_1,hlaminer,0.5
INCOV032-BL,B,field_1,optitype,1
INCOV032-BL,B,field_1,phlat,1
INCOV032-BL,B,field_2,arcasHLA,1
INCOV032-BL,B,field_2,hlaminer,0.5
INCOV032-BL,B,field_2,optitype,0.5
INCOV032-BL,B,field_2,phlat,1
INCOV032-BL,B,field_3,arcasHLA,1
INCOV032-BL,B,field_3,hlaminer,0
INCOV032-BL,B,field_3,optitype,0
INCOV032-BL,B,field_3,phlat,1
INCOV032-BL,C,field_1,arcasHLA,0.5
INCOV032-BL,C,field_1,hlaminer,1
INCOV032-BL,C,field_1,optitype,1
INCOV032-BL,C,field_1,phlat,1
INCOV032-BL,C,field_2,arcasHLA,0.5
INCOV032-BL,C,field_2,hlaminer,0.5
INCOV032-BL,C,field_2,optitype,1
INCOV032-BL,C,field_2,phlat,1
INCOV032-BL,C,field_3,arcasHLA,0
INCOV032-BL,C,field_3,hlaminer,0
INCOV032-BL,C,field_3,optitype,0
INCOV032-BL,C,field_3,phlat,0
INCOV032-BL,DPA1,field_1,arcasHLA,1
INCOV032-BL,DPA1,field_1,hlaminer,0.5
INCOV032-BL,DPA1,field_1,optitype,0
INCOV032-BL,DPA1,field_1,phlat,0
INCOV032-BL,DPA1,field_2,arcasHLA,1
INCOV032-BL,DPA1,field_2,hlaminer,0.5
INCOV032-BL,DPA1,field_2,optitype,0
INCOV032-BL,DPA1,field_2,phlat,0
INCOV032-BL,DPA1,field_3,arcasHLA,1
INCOV032-BL,DPA1,field_3,hlaminer,0
INCOV032-BL,DPA1,field_3,optitype,0
INCOV032-BL,DPA1,field_3,phlat,0
INCOV032-BL,DPB1,field_1,arcasHLA,1
INCOV032-BL,DPB1,field_1,hlaminer,0.5
INCOV032-BL,DPB1,field_1,optitype,0
INCOV032-BL,DPB1,field_1,phlat,0
INCOV032-BL,DPB1,field_2,arcasHLA,1
INCOV032-BL,DPB1,field_2,hlaminer,0.5
INCOV032-BL,DPB1,field_2,optitype,0
INCOV032-BL,DPB1,field_2,phlat,0
INCOV032-BL,DPB1,field_3,arcasHLA,1
INCOV032-BL,DPB1,field_3,hlaminer,0
INCOV032-BL,DPB1,field_3,optitype,0
INCOV032-BL,DPB1,field_3,phlat,0
INCOV032-BL,DQA1,field_1,arcasHLA,1
INCOV032-BL,DQA1,field_1,hlaminer,1
INCOV032-BL,DQA1,field_1,optitype,0
INCOV032-BL,DQA1,field_1,phlat,1
INCOV032-BL,DQA1,field_2,arcasHLA,1
INCOV032-BL,DQA1,field_2,hlaminer,0.5
INCOV032-BL,DQA1,field_2,optitype,0
INCOV032-BL,DQA1,field_2,phlat,0.5
INCOV032-BL,DQA1,field_3,arcasHLA,1
INCOV032-BL,DQA1,field_3,hlaminer,0
INCOV032-BL,DQA1,field_3,optitype,0
INCOV032-BL,DQA1,field_3,phlat,0.5
INCOV032-BL,DQB1,field_1,arcasHLA,1
INCOV032-BL,DQB1,field_1,hlaminer,0.5
INCOV032-BL,DQB1,field_1,optitype,0
INCOV032-BL,DQB1,field_1,phlat,1
INCOV032-BL,DQB1,field_2,arcasHLA,1
INCOV032-BL,DQB1,field_2,hlaminer,0.5
INCOV032-BL,DQB1,field_2,optitype,0
INCOV032-BL,DQB1,field_2,phlat,1
INCOV032-BL,DQB1,field_3,arcasHLA,1
INCOV032-BL,DQB1,field_3,hlaminer,0
INCOV032-BL,DQB1,field_3,optitype,0
INCOV032-BL,DQB1,field_3,phlat,1
INCOV032-BL,DRB1,field_1,arcasHLA,1
INCOV032-BL,DRB1,field_1,hlaminer,1
INCOV032-BL,DRB1,field_1,optitype,0
INCOV032-BL,DRB1,field_1,phlat,1
INCOV032-BL,DRB1,field_2,arcasHLA,1
INCOV032-BL,DRB1,field_2,hlaminer,0
INCOV032-BL,DRB1,field_2,optitype,0
INCOV032-BL,DRB1,field_2,phlat,1
INCOV032-BL,DRB1,field_3,arcasHLA,1
INCOV032-BL,DRB1,field_3,hlaminer,0
INCOV032-BL,DRB1,field_3,optitype,0
INCOV032-BL,DRB1,field_3,phlat,1
INCOV032-BL,DRB3,field_1,arcasHLA,1
INCOV032-BL,DRB3,field_1,hlaminer,1
INCOV032-BL,DRB3,field_1,optitype,0
INCOV032-BL,DRB3,field_1,phlat,0
INCOV032-BL,DRB3,field_2,arcasHLA,1
INCOV032-BL,DRB3,field_2,hlaminer,1
INCOV032-BL,DRB3,field_2,optitype,0
INCOV032-BL,DRB3,field_2,phlat,0
INCOV032-BL,DRB3,field_3,arcasHLA,1
INCOV032-BL,DRB3,field_3,hlaminer,0
INCOV032-BL,DRB3,field_3,optitype,0
INCOV032-BL,DRB3,field_3,phlat,0
INCOV032-BL,DRB4,field_1,arcasHLA,1
INCOV032-BL,DRB4,field_1,hlaminer,1
INCOV032-BL,DRB4,field_1,optitype,0
INCOV032-BL,DRB4,field_1,phlat,0
INCOV032-BL,DRB4,field_2,arcasHLA,1
INCOV032-BL,DRB4,field_2,hlaminer,0
INCOV032-BL,DRB4,field_2,optitype,0
INCOV032-BL,DRB4,field_2,phlat,0
INCOV032-BL,DRB4,field_3,arcasHLA,1
INCOV032-BL,DRB4,field_3,hlaminer,0
INCOV032-BL,DRB4,field_3,optitype,0
INCOV032-BL,DRB4,field_3,phlat,0
INCOV033-AC,A,field_1,arcasHLA,0
INCOV033-AC,A,field_1,hlaminer,0
INCOV033-AC,A,field_1,optitype,0
INCOV033-AC,A,field_1,phlat,0
INCOV033-AC,A,field_2,arcasHLA,0
INCOV033-AC,A,field_2,hlaminer,0
INCOV033-AC,A,field_2,optitype,0
INCOV033-AC,A,field_2,phlat,0
INCOV033-AC,A,field_3,arcasHLA,0
INCOV033-AC,A,field_3,hlaminer,0
INCOV033-AC,A,field_3,optitype,0
INCOV033-AC,A,field_3,phlat,0
INCOV033-AC,B,field_1,arcasHLA,0.5
INCOV033-AC,B,field_1,hlaminer,0
INCOV033-AC,B,field_1,optitype,0.5
INCOV033-AC,B,field_1,phlat,0.5
INCOV033-AC,B,field_2,arcasHLA,0
INCOV033-AC,B,field_2,hlaminer,0
INCOV033-AC,B,field_2,optitype,0
INCOV033-AC,B,field_2,phlat,0
INCOV033-AC,B,field_3,arcasHLA,0
INCOV033-AC,B,field_3,hlaminer,0
INCOV033-AC,B,field_3,optitype,0
INCOV033-AC,B,field_3,phlat,0
INCOV033-AC,C,field_1,arcasHLA,0
INCOV033-AC,C,field_1,hlaminer,0.5
INCOV033-AC,C,field_1,optitype,0.5
INCOV033-AC,C,field_1,phlat,0.5
INCOV033-AC,C,field_2,arcasHLA,0
INCOV033-AC,C,field_2,hlaminer,0
INCOV033-AC,C,field_2,optitype,0
INCOV033-AC,C,field_2,phlat,0
INCOV033-AC,C,field_3,arcasHLA,0
INCOV033-AC,C,field_3,hlaminer,0
INCOV033-AC,C,field_3,optitype,0
INCOV033-AC,C,field_3,phlat,0
INCOV033-AC,DPA1,field_1,arcasHLA,0.5
INCOV033-AC,DPA1,field_1,hlaminer,0.5
INCOV033-AC,DPA1,field_1,optitype,0
INCOV033-AC,DPA1,field_1,phlat,0
INCOV033-AC,DPA1,field_2,arcasHLA,0.5
INCOV033-AC,DPA1,field_2,hlaminer,0
INCOV033-AC,DPA1,field_2,optitype,0
INCOV033-AC,DPA1,field_2,phlat,0
INCOV033-AC,DPA1,field_3,arcasHLA,0.5
INCOV033-AC,DPA1,field_3,hlaminer,0
INCOV033-AC,DPA1,field_3,optitype,0
INCOV033-AC,DPA1,field_3,phlat,0
INCOV033-AC,DPB1,field_1,arcasHLA,0.5
INCOV033-AC,DPB1,field_1,hlaminer,0
INCOV033-AC,DPB1,field_1,optitype,0
INCOV033-AC,DPB1,field_1,phlat,0
INCOV033-AC,DPB1,field_2,arcasHLA,0
INCOV033-AC,DPB1,field_2,hlaminer,0
INCOV033-AC,DPB1,field_2,optitype,0
INCOV033-AC,DPB1,field_2,phlat,0
INCOV033-AC,DPB1,field_3,arcasHLA,0
INCOV033-AC,DPB1,field_3,hlaminer,0
INCOV033-AC,DPB1,field_3,optitype,0
INCOV033-AC,DPB1,field_3,phlat,0
INCOV033-AC,DQA1,field_1,arcasHLA,0.5
INCOV033-AC,DQA1,field_1,hlaminer,0.5
INCOV033-AC,DQA1,field_1,optitype,0
INCOV033-AC,DQA1,field_1,phlat,0.5
INCOV033-AC,DQA1,field_2,arcasHLA,0
INCOV033-AC,DQA1,field_2,hlaminer,0
INCOV033-AC,DQA1,field_2,optitype,0
INCOV033-AC,DQA1,field_2,phlat,0
INCOV033-AC,DQA1,field_3,arcasHLA,0
INCOV033-AC,DQA1,field_3,hlaminer,0
INCOV033-AC,DQA1,field_3,optitype,0
INCOV033-AC,DQA1,field_3,phlat,0
INCOV033-AC,DQB1,field_1,arcasHLA,0
INCOV033-AC,DQB1,field_1,hlaminer,0.5
INCOV033-AC,DQB1,field_1,optitype,0
INCOV033-AC,DQB1,field_1,phlat,0
INCOV033-AC,DQB1,field_2,arcasHLA,0
INCOV033-AC,DQB1,field_2,hlaminer,0
INCOV033-AC,DQB1,field_2,optitype,0
INCOV033-AC,DQB1,field_2,phlat,0
INCOV033-AC,DQB1,field_3,arcasHLA,0
INCOV033-AC,DQB1,field_3,hlaminer,0
INCOV033-AC,DQB1,field_3,optitype,0
INCOV033-AC,DQB1,field_3,phlat,0
INCOV033-AC,DRB1,field_1,arcasHLA,0
INCOV033-AC,DRB1,field_1,hlaminer,0.5
INCOV033-AC,DRB1,field_1,optitype,0
INCOV033-AC,DRB1,field_1,phlat,0
INCOV033-AC,DRB1,field_2,arcasHLA,0
INCOV033-AC,DRB1,field_2,hlaminer,0
INCOV033-AC,DRB1,field_2,optitype,0
INCOV033-AC,DRB1,field_2,phlat,0
INCOV033-AC,DRB1,field_3,arcasHLA,0
INCOV033-AC,DRB1,field_3,hlaminer,0
INCOV033-AC,DRB1,field_3,optitype,0
INCOV033-AC,DRB1,field_3,phlat,0
INCOV033-AC,DRB3,field_1,arcasHLA,0.5
INCOV033-AC,DRB3,field_1,hlaminer,1
INCOV033-AC,DRB3,field_1,optitype,0
INCOV033-AC,DRB3,field_1,phlat,0
INCOV033-AC,DRB3,field_2,arcasHLA,0.5
INCOV033-AC,DRB3,field_2,hlaminer,1
INCOV033-AC,DRB3,field_2,optitype,0
INCOV033-AC,DRB3,field_2,phlat,0
INCOV033-AC,DRB3,field_3,arcasHLA,0.5
INCOV033-AC,DRB3,field_3,hlaminer,0
INCOV033-AC,DRB3,field_3,optitype,0
INCOV033-AC,DRB3,field_3,phlat,0
INCOV033-BL,A,field_1,arcasHLA,1
INCOV033-BL,A,field_1,hlaminer,1
INCOV033-BL,A,field_1,optitype,1
INCOV033-BL,A,field_1,phlat,1
INCOV033-BL,A,field_2,arcasHLA,1
INCOV033-BL,A,field_2,hlaminer,1
INCOV033-BL,A,field_2,optitype,1
INCOV033-BL,A,field_2,phlat,1
INCOV033-BL,A,field_3,arcasHLA,1
INCOV033-BL,A,field_3,hlaminer,0
INCOV033-BL,A,field_3,optitype,0
INCOV033-BL,A,field_3,phlat,1
INCOV033-BL,B,field_1,arcasHLA,1
INCOV033-BL,B,field_1,hlaminer,0.5
INCOV033-BL,B,field_1,optitype,1
INCOV033-BL,B,field_1,phlat,1
INCOV033-BL,B,field_2,arcasHLA,1
INCOV033-BL,B,field_2,hlaminer,0.5
INCOV033-BL,B,field_2,optitype,1
