sample,locus,field,genotyper,accuracy
INCOV002-CV,A,field_2,optitype,0
INCOV002-CV,A,field_2,phlat,1
INCOV002-CV,A,field_3,arcasHLA,0
INCOV002-CV,A,field_3,hlaminer,0
INCOV002-CV,A,field_3,optitype,0
INCOV002-CV,A,field_3,phlat,0
INCOV002-CV,B,field_1,arcasHLA,0.5
INCOV002-CV,B,field_1,hlaminer,0.5
INCOV002-CV,B,field_1,optitype,0
INCOV002-CV,B,field_1,phlat,1
INCOV002-CV,B,field_2,arcasHLA,0.5
INCOV002-CV,B,field_2,hlaminer,0
INCOV002-CV,B,field_2,optitype,0
INCOV002-CV,B,field_2,phlat,1
INCOV002-CV,B,field_3,arcasHLA,0.5
INCOV002-CV,B,field_3,hlaminer,0
INCOV002-CV,B,field_3,optitype,0
INCOV002-CV,B,field_3,phlat,1
INCOV002-CV,C,field_1,arcasHLA,1
INCOV002-CV,C,field_1,hlaminer,1
INCOV002-CV,C,field_1,optitype,0
INCOV002-CV,C,field_1,phlat,1
INCOV002-CV,C,field_2,arcasHLA,1
INCOV002-CV,C,field_2,hlaminer,0.5
INCOV002-CV,C,field_2,optitype,0
INCOV002-CV,C,field_2,phlat,1
INCOV002-CV,C,field_3,arcasHLA,1
INCOV002-CV,C,field_3,hlaminer,0
INCOV002-CV,C,field_3,optitype,0
INCOV002-CV,C,field_3,phlat,1
INCOV002-CV,DPA1,field_1,arcasHLA,1
INCOV002-CV,DPA1,field_1,hlaminer,0.5
INCOV002-CV,DPA1,field_1,optitype,0
INCOV002-CV,DPA1,field_1,phlat,0
INCOV002-CV,DPA1,field_2,arcasHLA,1
INCOV002-CV,DPA1,field_2,hlaminer,0
INCOV002-CV,DPA1,field_2,optitype,0
INCOV002-CV,DPA1,field_2,phlat,0
INCOV002-CV,DPA1,field_3,arcasHLA,1
INCOV002-CV,DPA1,field_3,hlaminer,0
INCOV002-CV,DPA1,field_3,optitype,0
INCOV002-CV,DPA1,field_3,phlat,0
INCOV002-CV,DPB1,field_1,arcasHLA,0.5
INCOV002-CV,DPB1,field_1,hlaminer,0
INCOV002-CV,DPB1,field_1,optitype,0
INCOV002-CV,DPB1,field_1,phlat,0
INCOV002-CV,DPB1,field_2,arcasHLA,0.5
INCOV002-CV,DPB1,field_2,hlaminer,0
INCOV002-CV,DPB1,field_2,optitype,0
INCOV002-CV,DPB1,field_2,phlat,0
INCOV002-CV,DPB1,field_3,arcasHLA,0.5
INCOV002-CV,DPB1,field_3,hlaminer,0
INCOV002-CV,DPB1,field_3,optitype,0
INCOV002-CV,DPB1,field_3,phlat,0
INCOV002-CV,DQA1,field_1,arcasHLA,1
INCOV002-CV,DQA1,field_1,hlaminer,1
INCOV002-CV,DQA1,field_1,optitype,0
INCOV002-CV,DQA1,field_1,phlat,1
INCOV002-CV,DQA1,field_2,arcasHLA,1
INCOV002-CV,DQA1,field_2,hlaminer,0.5
INCOV002-CV,DQA1,field_2,optitype,0
INCOV002-CV,DQA1,field_2,phlat,1
INCOV002-CV,DQA1,field_3,arcasHLA,1
INCOV002-CV,DQA1,field_3,hlaminer,0
INCOV002-CV,DQA1,field_3,optitype,0
INCOV002-CV,DQA1,field_3,phlat,1
INCOV002-CV,DQB1,field_1,arcasHLA,1
INCOV002-CV,DQB1,field_1,hlaminer,1
INCOV002-CV,DQB1,field_1,optitype,0
INCOV002-CV,DQB1,field_1,phlat,1
INCOV002-CV,DQB1,field_2,arcasHLA,1
INCOV002-CV,DQB1,field_2,hlaminer,1
INCOV002-CV,DQB1,field_2,optitype,0
INCOV002-CV,DQB1,field_2,phlat,1
INCOV002-CV,DQB1,field_3,arcasHLA,0.5
INCOV002-CV,DQB1,field_3,hlaminer,0
INCOV002-CV,DQB1,field_3,optitype,0
INCOV002-CV,DQB1,field_3,phlat,1
INCOV002-CV,DRB1,field_1,arcasHLA,1
INCOV002-CV,DRB1,field_1,hlaminer,0.5
INCOV002-CV,DRB1,field_1,optitype,0
INCOV002-CV,DRB1,field_1,phlat,1
INCOV002-CV,DRB1,field_2,arcasHLA,1
INCOV002-CV,DRB1,field_2,hlaminer,0.5
INCOV002-CV,DRB1,field_2,optitype,0
INCOV002-CV,DRB1,field_2,phlat,1
INCOV002-CV,DRB1,field_3,arcasHLA,1
INCOV002-CV,DRB1,field_3,hlaminer,0
INCOV002-CV,DRB1,field_3,optitype,0
INCOV002-CV,DRB1,field_3,phlat,1
INCOV002-CV,DRB3,field_1,arcasHLA,1
INCOV002-CV,DRB3,field_1,hlaminer,1
INCOV002-CV,DRB3,field_1,optitype,0
INCOV002-CV,DRB3,field_1,phlat,0
INCOV002-CV,DRB3,field_2,arcasHLA,1
INCOV002-CV,DRB3,field_2,hlaminer,0
INCOV002-CV,DRB3,field_2,optitype,0
INCOV002-CV,DRB3,field_2,phlat,0
INCOV002-CV,DRB3,field_3,arcasHLA,1
INCOV002-CV,DRB3,field_3,hlaminer,0
INCOV002-CV,DRB3,field_3,optitype,0
INCOV002-CV,DRB3,field_3,phlat,0
INCOV002-CV,DRB4,field_1,arcasHLA,1
INCOV002-CV,DRB4,field_1,hlaminer,1
INCOV002-CV,DRB4,field_1,optitype,0
INCOV002-CV,DRB4,field_1,phlat,0
INCOV002-CV,DRB4,field_2,arcasHLA,1
INCOV002-CV,DRB4,field_2,hlaminer,0
INCOV002-CV,DRB4,field_2,optitype,0
INCOV002-CV,DRB4,field_2,phlat,0
INCOV002-CV,DRB4,field_3,arcasHLA,1
INCOV002-CV,DRB4,field_3,hlaminer,0
INCOV002-CV,DRB4,field_3,optitype,0
INCOV002-CV,DRB4,field_3,phlat,0
INCOV003-AC,A,field_1,arcasHLA,1
INCOV003-AC,A,field_1,hlaminer,1
INCOV003-AC,A,field_1,optitype,0
INCOV003-AC,A,field_1,phlat,1
INCOV003-AC,A,field_2,arcasHLA,1
INCOV003-AC,A,field_2,hlaminer,0
INCOV003-AC,A,field_2,optitype,0
INCOV003-AC,A,field_2,phlat,1
INCOV003-AC,A,field_3,arcasHLA,1
INCOV003-AC,A,field_3,hlaminer,0
INCOV003-AC,A,field_3,optitype,0
INCOV003-AC,A,field_3,phlat,1
INCOV003-AC,B,field_1,arcasHLA,1
INCOV003-AC,B,field_1,hlaminer,0
INCOV003-AC,B,field_1,optitype,0
INCOV003-AC,B,field_1,phlat,1
INCOV003-AC,B,field_2,arcasHLA,1
INCOV003-AC,B,field_2,hlaminer,0
INCOV003-AC,B,field_2,optitype,0
INCOV003-AC,B,field_2,phlat,1
INCOV003-AC,B,field_3,arcasHLA,1
INCOV003-AC,B,field_3,hlaminer,0
INCOV003-AC,B,field_3,optitype,0
INCOV003-AC,B,field_3,phlat,0
INCOV003-AC,C,field_1,arcasHLA,0.5
INCOV003-AC,C,field_1,hlaminer,1
INCOV003-AC,C,field_1,optitype,0
INCOV003-AC,C,field_1,phlat,1
INCOV003-AC,C,field_2,arcasHLA,0.5
INCOV003-AC,C,field_2,hlaminer,0.5
INCOV003-AC,C,field_2,optitype,0
INCOV003-AC,C,field_2,phlat,1
INCOV003-AC,C,field_3,arcasHLA,0.5
INCOV003-AC,C,field_3,hlaminer,0
INCOV003-AC,C,field_3,optitype,0
INCOV003-AC,C,field_3,phlat,1
INCOV003-AC,DPA1,field_1,arcasHLA,1
INCOV003-AC,DPA1,field_1,hlaminer,0.5
INCOV003-AC,DPA1,field_1,optitype,0
INCOV003-AC,DPA1,field_1,phlat,0
INCOV003-AC,DPA1,field_2,arcasHLA,1
INCOV003-AC,DPA1,field_2,hlaminer,0.5
INCOV003-AC,DPA1,field_2,optitype,0
INCOV003-AC,DPA1,field_2,phlat,0
INCOV003-AC,DPA1,field_3,arcasHLA,1
INCOV003-AC,DPA1,field_3,hlaminer,0
INCOV003-AC,DPA1,field_3,optitype,0
INCOV003-AC,DPA1,field_3,phlat,0
INCOV003-AC,DPB1,field_1,arcasHLA,1
INCOV003-AC,DPB1,field_1,hlaminer,0.5
INCOV003-AC,DPB1,field_1,optitype,0
INCOV003-AC,DPB1,field_1,phlat,0
INCOV003-AC,DPB1,field_2,arcasHLA,1
INCOV003-AC,DPB1,field_2,hlaminer,0.5
INCOV003-AC,DPB1,field_2,optitype,0
INCOV003-AC,DPB1,field_2,phlat,0
INCOV003-AC,DPB1,field_3,arcasHLA,1
INCOV003-AC,DPB1,field_3,hlaminer,0
INCOV003-AC,DPB1,field_3,optitype,0
INCOV003-AC,DPB1,field_3,phlat,0
INCOV003-AC,DQA1,field_1,arcasHLA,1
INCOV003-AC,DQA1,field_1,hlaminer,1
INCOV003-AC,DQA1,field_1,optitype,0
INCOV003-AC,DQA1,field_1,phlat,1
INCOV003-AC,DQA1,field_2,arcasHLA,1
INCOV003-AC,DQA1,field_2,hlaminer,0
INCOV003-AC,DQA1,field_2,optitype,0
INCOV003-AC,DQA1,field_2,phlat,1
INCOV003-AC,DQA1,field_3,arcasHLA,1
INCOV003-AC,DQA1,field_3,hlaminer,0
INCOV003-AC,DQA1,field_3,optitype,0
INCOV003-AC,DQA1,field_3,phlat,0.5
INCOV003-AC,DQB1,field_1,arcasHLA,1
INCOV003-AC,DQB1,field_1,hlaminer,1
INCOV003-AC,DQB1,field_1,optitype,0
INCOV003-AC,DQB1,field_1,phlat,1
INCOV003-AC,DQB1,field_2,arcasHLA,0.5
INCOV003-AC,DQB1,field_2,hlaminer,0.5
INCOV003-AC,DQB1,field_2,optitype,0
INCOV003-AC,DQB1,field_2,phlat,1
INCOV003-AC,DQB1,field_3,arcasHLA,0.5
INCOV003-AC,DQB1,field_3,hlaminer,0
INCOV003-AC,DQB1,field_3,optitype,0
INCOV003-AC,DQB1,field_3,phlat,0.5
INCOV003-AC,DRB1,field_1,arcasHLA,1
INCOV003-AC,DRB1,field_1,hlaminer,0.5
INCOV003-AC,DRB1,field_1,optitype,0
INCOV003-AC,DRB1,field_1,phlat,1
INCOV003-AC,DRB1,field_2,arcasHLA,1
INCOV003-AC,DRB1,field_2,hlaminer,0
INCOV003-AC,DRB1,field_2,optitype,0
INCOV003-AC,DRB1,field_2,phlat,1
INCOV003-AC,DRB1,field_3,arcasHLA,1
INCOV003-AC,DRB1,field_3,hlaminer,0
INCOV003-AC,DRB1,field_3,optitype,0
INCOV003-AC,DRB1,field_3,phlat,1
INCOV003-AC,DRB3,field_1,arcasHLA,1
INCOV003-AC,DRB3,field_1,hlaminer,1
INCOV003-AC,DRB3,field_1,optitype,0
INCOV003-AC,DRB3,field_1,phlat,0
INCOV003-AC,DRB3,field_2,arcasHLA,1
INCOV003-AC,DRB3,field_2,hlaminer,0
INCOV003-AC,DRB3,field_2,optitype,0
INCOV003-AC,DRB3,field_2,phlat,0
INCOV003-AC,DRB3,field_3,arcasHLA,1
INCOV003-AC,DRB3,field_3,hlaminer,0
INCOV003-AC,DRB3,field_3,optitype,0
INCOV003-AC,DRB3,field_3,phlat,0
INCOV003-AC,DRB4,field_1,arcasHLA,1
INCOV003-AC,DRB4,field_1,hlaminer,1
INCOV003-AC,DRB4,field_1,optitype,0
INCOV003-AC,DRB4,field_1,phlat,0
INCOV003-AC,DRB4,field_2,arcasHLA,1
INCOV003-AC,DRB4,field_2,hlaminer,0
INCOV003-AC,DRB4,field_2,optitype,0
INCOV003-AC,DRB4,field_2,phlat,0
INCOV003-AC,DRB4,field_3,arcasHLA,1
INCOV003-AC,DRB4,field_3,hlaminer,0
INCOV003-AC,DRB4,field_3,optitype,0
INCOV003-AC,DRB4,field_3,phlat,0
INCOV003-BL,A,field_1,arcasHLA,1
INCOV003-BL,A,field_1,hlaminer,0.5
INCOV003-BL,A,field_1,optitype,0
INCOV003-BL,A,field_1,phlat,1
INCOV003-BL,A,field_2,arcasHLA,1
INCOV003-BL,A,field_2,hlaminer,0
INCOV003-BL,A,field_2,optitype,0
INCOV003-BL,A,field_2,phlat,1
INCOV003-BL,A,field_3,arcasHLA,1
INCOV003-BL,A,field_3,hlaminer,0
INCOV003-BL,A,field_3,optitype,0
INCOV003-BL,A,field_3,phlat,1
INCOV003-BL,B,field_1,arcasHLA,1
INCOV003-BL,B,field_1,hlaminer,0
INCOV003-BL,B,field_1,optitype,0
INCOV003-BL,B,field_1,phlat,1
INCOV003-BL,B,field_2,arcasHLA,1
INCOV003-BL,B,field_2,hlaminer,0
INCOV003-BL,B,field_2,optitype,0
INCOV003-BL,B,field_2,phlat,1
INCOV003-BL,B,field_3,arcasHLA,1
INCOV003-BL,B,field_3,hlaminer,0
INCOV003-BL,B,field_3,optitype,0
INCOV003-BL,B,field_3,phlat,0
INCOV003-BL,C,field_1,arcasHLA,0.5
INCOV003-BL,C,field_1,hlaminer,1
INCOV003-BL,C,field_1,optitype,0
INCOV003-BL,C,field_1,phlat,1
INCOV003-BL,C,field_2,arcasHLA,0.5
INCOV003-BL,C,field_2,hlaminer,1
INCOV003-BL,C,field_2,optitype,0
INCOV003-BL,C,field_2,phlat,1
INCOV003-BL,C,field_3,arcasHLA,0.5
INCOV003-BL,C,field_3,hlaminer,0
INCOV003-BL,C,field_3,optitype,0
INCOV003-BL,C,field_3,phlat,1
INCOV003-BL,DPA1,field_1,arcasHLA,1
INCOV003-BL,DPA1,field_1,hlaminer,0.5
INCOV003-BL,DPA1,field_1,optitype,0
INCOV003-BL,DPA1,field_1,phlat,0
INCOV003-BL,DPA1,field_2,arcasHLA,1
INCOV003-BL,DPA1,field_2,hlaminer,0
INCOV003-BL,DPA1,field_2,optitype,0
INCOV003-BL,DPA1,field_2,phlat,0
INCOV003-BL,DPA1,field_3,arcasHLA,1
INCOV003-BL,DPA1,field_3,hlaminer,0
INCOV003-BL,DPA1,field_3,optitype,0
INCOV003-BL,DPA1,field_3,phlat,0
INCOV003-BL,DPB1,field_1,arcasHLA,1
INCOV003-BL,DPB1,field_1,hlaminer,0.5
INCOV003-BL,DPB1,field_1,optitype,0
INCOV003-BL,DPB1,field_1,phlat,0
INCOV003-BL,DPB1,field_2,arcasHLA,1
INCOV003-BL,DPB1,field_2,hlaminer,0.5
INCOV003-BL,DPB1,field_2,optitype,0
INCOV003-BL,DPB1,field_2,phlat,0
INCOV003-BL,DPB1,field_3,arcasHLA,1
INCOV003-BL,DPB1,field_3,hlaminer,0
INCOV003-BL,DPB1,field_3,optitype,0
INCOV003-BL,DPB1,field_3,phlat,0
INCOV003-BL,DQA1,field_1,arcasHLA,1
INCOV003-BL,DQA1,field_1,hlaminer,1
INCOV003-BL,DQA1,field_1,optitype,0
INCOV003-BL,DQA1,field_1,phlat,1
INCOV003-BL,DQA1,field_2,arcasHLA,1
INCOV003-BL,DQA1,field_2,hlaminer,0.5
INCOV003-BL,DQA1,field_2,optitype,0
INCOV003-BL,DQA1,field_2,phlat,1
INCOV003-BL,DQA1,field_3,arcasHLA,1
INCOV003-BL,DQA1,field_3,hlaminer,0
INCOV003-BL,DQA1,field_3,optitype,0
INCOV003-BL,DQA1,field_3,phlat,0.5
INCOV003-BL,DQB1,field_1,arcasHLA,1
INCOV003-BL,DQB1,field_1,hlaminer,1
INCOV003-BL,DQB1,field_1,optitype,0
INCOV003-BL,DQB1,field_1,phlat,1
INCOV003-BL,DQB1,field_2,arcasHLA,1
INCOV003-BL,DQB1,field_2,hlaminer,0.5
INCOV003-BL,DQB1,field_2,optitype,0
INCOV003-BL,DQB1,field_2,phlat,1
INCOV003-BL,DQB1,field_3,arcasHLA,1
INCOV003-BL,DQB1,field_3,hlaminer,0
INCOV003-BL,DQB1,field_3,optitype,0
INCOV003-BL,DQB1,field_3,phlat,0.5
INCOV003-BL,DRB1,field_1,arcasHLA,1
INCOV003-BL,DRB1,field_1,hlaminer,1
INCOV003-BL,DRB1,field_1,optitype,0
INCOV003-BL,DRB1,field_1,phlat,1
INCOV003-BL,DRB1,field_2,arcasHLA,1
INCOV003-BL,DRB1,field_2,hlaminer,0.5
INCOV003-BL,DRB1,field_2,optitype,0
INCOV003-BL,DRB1,field_2,phlat,1
INCOV003-BL,DRB1,field_3,arcasHLA,1
INCOV003-BL,DRB1,field_3,hlaminer,0
INCOV003-BL,DRB1,field_3,optitype,0
INCOV003-BL,DRB1,field_3,phlat,1
INCOV003-BL,DRB3,field_1,arcasHLA,1
INCOV003-BL,DRB3,field_1,hlaminer,1
INCOV003-BL,DRB3,field_1,optitype,0
INCOV003-BL,DRB3,field_1,phlat,0
INCOV003-BL,DRB3,field_2,arcasHLA,1
INCOV003-BL,DRB3,field_2,hlaminer,0
INCOV003-BL,DRB3,field_2,optitype,0
INCOV003-BL,DRB3,field_2,phlat,0
INCOV003-BL,DRB3,field_3,arcasHLA,1
INCOV003-BL,DRB3,field_3,hlaminer,0
INCOV003-BL,DRB3,field_3,optitype,0
INCOV003-BL,DRB3,field_3,phlat,0
INCOV003-BL,DRB4,field_1,arcasHLA,1
INCOV003-BL,DRB4,field_1,hlaminer,1
INCOV003-BL,DRB4,field_1,optitype,0
INCOV003-BL,DRB4,field_1,phlat,0
INCOV003-BL,DRB4,field_2,arcasHLA,1
INCOV003-BL,DRB4,field_2,hlaminer,0
INCOV003-BL,DRB4,field_2,optitype,0
INCOV003-BL,DRB4,field_2,phlat,0
INCOV003-BL,DRB4,field_3,arcasHLA,1
INCOV003-BL,DRB4,field_3,hlaminer,0
INCOV003-BL,DRB4,field_3,optitype,0
INCOV003-BL,DRB4,field_3,phlat,0
INCOV003-CV,A,field_1,arcasHLA,0.5
INCOV003-CV,A,field_1,hlaminer,0
INCOV003-CV,A,field_1,optitype,0
INCOV003-CV,A,field_1,phlat,0
INCOV003-CV,A,field_2,arcasHLA,0
INCOV003-CV,A,field_2,hlaminer,0
INCOV003-CV,A,field_2,optitype,0
INCOV003-CV,A,field_2,phlat,0
INCOV003-CV,A,field_3,arcasHLA,0
INCOV003-CV,A,field_3,hlaminer,0
INCOV003-CV,A,field_3,optitype,0
INCOV003-CV,A,field_3,phlat,0
INCOV003-CV,B,field_1,arcasHLA,0
INCOV003-CV,B,field_1,hlaminer,0
INCOV003-CV,B,field_1,optitype,0
INCOV003-CV,B,field_1,phlat,0
INCOV003-CV,B,field_2,arcasHLA,0
INCOV003-CV,B,field_2,hlaminer,0
INCOV003-CV,B,field_2,optitype,0
INCOV003-CV,B,field_2,phlat,0
INCOV003-CV,B,field_3,arcasHLA,0
INCOV003-CV,B,field_3,hlaminer,0
INCOV003-CV,B,field_3,optitype,0
INCOV003-CV,B,field_3,phlat,0
INCOV003-CV,C,field_1,arcasHLA,0
INCOV003-CV,C,field_1,hlaminer,0.5
INCOV003-CV,C,field_1,optitype,0
INCOV003-CV,C,field_1,phlat,0
INCOV003-CV,C,field_2,arcasHLA,0
INCOV003-CV,C,field_2,hlaminer,0.5
INCOV003-CV,C,field_2,optitype,0
INCOV003-CV,C,field_2,phlat,0
INCOV003-CV,C,field_3,arcasHLA,0
INCOV003-CV,C,field_3,hlaminer,0
INCOV003-CV,C,field_3,optitype,0
INCOV003-CV,C,field_3,phlat,0
INCOV003-CV,DPA1,field_1,arcasHLA,0.5
INCOV003-CV,DPA1,field_1,hlaminer,0.5
INCOV003-CV,DPA1,field_1,optitype,0
INCOV003-CV,DPA1,field_1,phlat,0
INCOV003-CV,DPA1,field_2,arcasHLA,0.5
INCOV003-CV,DPA1,field_2,hlaminer,0.5
INCOV003-CV,DPA1,field_2,optitype,0
INCOV003-CV,DPA1,field_2,phlat,0
INCOV003-CV,DPA1,field_3,arcasHLA,0.5
INCOV003-CV,DPA1,field_3,hlaminer,0
INCOV003-CV,DPA1,field_3,optitype,0
INCOV003-CV,DPA1,field_3,phlat,0
INCOV003-CV,DPB1,field_1,arcasHLA,0
INCOV003-CV,DPB1,field_1,hlaminer,0
INCOV003-CV,DPB1,field_1,optitype,0
INCOV003-CV,DPB1,field_1,phlat,0
INCOV003-CV,DPB1,field_2,arcasHLA,0
INCOV003-CV,DPB1,field_2,hlaminer,0
INCOV003-CV,DPB1,field_2,optitype,0
INCOV003-CV,DPB1,field_2,phlat,0
INCOV003-CV,DPB1,field_3,arcasHLA,0
INCOV003-CV,DPB1,field_3,hlaminer,0
INCOV003-CV,DPB1,field_3,optitype,0
INCOV003-CV,DPB1,field_3,phlat,0
INCOV003-CV,DQA1,field_1,arcasHLA,0
INCOV003-CV,DQA1,field_1,hlaminer,0.5
INCOV003-CV,DQA1,field_1,optitype,0
INCOV003-CV,DQA1,field_1,phlat,0
INCOV003-CV,DQA1,field_2,arcasHLA,0
INCOV003-CV,DQA1,field_2,hlaminer,0.5
INCOV003-CV,DQA1,field_2,optitype,0
INCOV003-CV,DQA1,field_2,phlat,0
INCOV003-CV,DQA1,field_3,arcasHLA,0
INCOV003-CV,DQA1,field_3,hlaminer,0
INCOV003-CV,DQA1,field_3,optitype,0
INCOV003-CV,DQA1,field_3,phlat,0
INCOV003-CV,DQB1,field_1,arcasHLA,0
INCOV003-CV,DQB1,field_1,hlaminer,0.5
INCOV003-CV,DQB1,field_1,optitype,0
INCOV003-CV,DQB1,field_1,phlat,0.5
INCOV003-CV,DQB1,field_2,arcasHLA,0
INCOV003-CV,DQB1,field_2,hlaminer,0
INCOV003-CV,DQB1,field_2,optitype,0
INCOV003-CV,DQB1,field_2,phlat,0
INCOV003-CV,DQB1,field_3,arcasHLA,0
INCOV003-CV,DQB1,field_3,hlaminer,0
INCOV003-CV,DQB1,field_3,optitype,0
INCOV003-CV,DQB1,field_3,phlat,0
INCOV003-CV,DRB1,field_1,arcasHLA,0
INCOV003-CV,DRB1,field_1,hlaminer,0
INCOV003-CV,DRB1,field_1,optitype,0
INCOV003-CV,DRB1,field_1,phlat,0
INCOV003-CV,DRB1,field_2,arcasHLA,0
INCOV003-CV,DRB1,field_2,hlaminer,0
INCOV003-CV,DRB1,field_2,optitype,0
INCOV003-CV,DRB1,field_2,phlat,0
INCOV003-CV,DRB1,field_3,arcasHLA,0
INCOV003-CV,DRB1,field_3,hlaminer,0
INCOV003-CV,DRB1,field_3,optitype,0
INCOV003-CV,DRB1,field_3,phlat,0
INCOV003-CV,DRB3,field_1,arcasHLA,0
INCOV003-CV,DRB3,field_1,hlaminer,1
INCOV003-CV,DRB3,field_1,optitype,0
INCOV003-CV,DRB3,field_1,phlat,0
INCOV003-CV,DRB3,field_2,arcasHLA,0
