sample,n_cells
INCOV033-AC_C0005,45
INCOV033-AC_C001,91
INCOV033-AC_C01,915
INCOV033-BL_C0005,12
INCOV033-BL_C001,24
INCOV033-BL_C01,245
INCOV034-AC_C0005,6
INCOV034-AC_C001,13
INCOV034-AC_C01,133
INCOV034-BL_C0005,8
INCOV034-BL_C001,16
INCOV034-BL_C01,160
INCOV035-AC_C0005,46
INCOV035-AC_C001,92
INCOV035-AC_C01,928
INCOV035-BL_C0005,10
INCOV035-BL_C001,21
INCOV035-BL_C01,216
INCOV036-AC_C0005,23
INCOV036-AC_C001,46
INCOV036-AC_C01,468
INCOV036-BL_C0005,31
INCOV036-BL_C001,63
INCOV036-BL_C01,633
INCOV036-CV_C0005,2
INCOV036-CV_C001,4
INCOV036-CV_C01,49
INCOV039-AC_C0005,19
INCOV039-AC_C001,39
INCOV039-AC_C01,393
INCOV039-BL_C0005,13
INCOV039-BL_C001,26
INCOV039-BL_C01,264
INCOV039-CV_C0005,13
INCOV039-CV_C001,26
INCOV039-CV_C01,266
INCOV040-AC_C0005,9
INCOV040-AC_C001,19
INCOV040-AC_C01,196
INCOV040-BL_C0005,5
INCOV040-BL_C001,11
INCOV040-BL_C01,118
INCOV040-CV_C0005,14
INCOV040-CV_C001,29
INCOV040-CV_C01,298
INCOV041-AC_C0005,6
INCOV041-AC_C001,12
INCOV041-AC_C01,122
INCOV041-BL_C0005,15
INCOV041-BL_C001,31
INCOV041-BL_C01,314
INCOV042-AC_C0005,7
INCOV042-AC_C001,14
INCOV042-AC_C01,145
INCOV042-BL_C0005,9
INCOV042-BL_C001,18
INCOV042-BL_C01,185
INCOV042-CV_C0005,8
INCOV042-CV_C001,16
INCOV042-CV_C01,160
INCOV043-AC_C0005,5
INCOV043-AC_C001,11
INCOV043-AC_C01,118
INCOV043-BL_C0005,6
INCOV043-BL_C001,12
INCOV043-BL_C01,128
INCOV044-AC_C0005,10
INCOV044-AC_C001,21
INCOV044-AC_C01,214
INCOV044-BL_C0005,7
INCOV044-BL_C001,15
INCOV044-BL_C01,151
INCOV045-AC_C0005,12
INCOV045-AC_C001,24
INCOV045-AC_C01,249
INCOV045-BL_C0005,16
INCOV045-BL_C001,33
INCOV045-BL_C01,332
INCOV045-CV_C0005,16
INCOV045-CV_C001,33
INCOV045-CV_C01,334
INCOV047-AC_C0005,10
INCOV047-AC_C001,20
INCOV047-AC_C01,206
INCOV047-BL_C0005,6
INCOV047-BL_C001,12
INCOV047-BL_C01,128
INCOV048-BL_C0005,10
INCOV048-BL_C001,20
INCOV048-BL_C01,204
INCOV049-AC_C0005,17
INCOV049-AC_C001,35
INCOV049-AC_C01,359
INCOV049-BL_C0005,10
INCOV049-BL_C001,21
INCOV049-BL_C01,215
INCOV050-AC_C0005,14
INCOV050-AC_C001,28
INCOV050-AC_C01,285
INCOV050-BL_C0005,12
INCOV050-BL_C001,24
INCOV050-BL_C01,244
INCOV051-AC_C0005,14
INCOV051-AC_C001,29
INCOV051-AC_C01,294
INCOV051-BL_C0005,11
INCOV051-BL_C001,23
INCOV051-BL_C01,238
INCOV051-CV_C0005,15
INCOV051-CV_C001,30
INCOV051-CV_C01,302
INCOV052-AC_C0005,17
INCOV052-AC_C001,34
INCOV052-AC_C01,348
INCOV052-BL_C0005,14
INCOV052-BL_C001,28
INCOV052-BL_C01,285
INCOV053-AC_C0005,13
INCOV053-AC_C001,27
