sample,n_cells
INCOV051-CV,3025
INCOV052-AC,3489
INCOV052-BL,2858
INCOV053-AC,2780
INCOV053-BL,3021
INCOV053-PD1,688
INCOV055-BL,2008
INCOV056-AC,1765
INCOV056-BL,3783
INCOV056-CV,6232
INCOV057-AC,1678
INCOV057-BL,1492
INCOV057-CV,2984
INCOV058-AC,1497
INCOV058-BL,1722
INCOV058-CV,3232
INCOV059-AC,3205
INCOV059-BL,3045
INCOV059-CV,2041
INCOV060-AC,3485
INCOV060-BL,1365
INCOV060-CV,5438
INCOV061-AC,4773
INCOV061-BL,1165
INCOV061-CV,4827
INCOV062-AC,3602
INCOV062-BL,2600
INCOV063-AC,2620
INCOV063-BL,1284
INCOV063-CV,1750
INCOV066-AC,2669
INCOV066-BL,3874
INCOV066-CV,3207
INCOV067-AC,2031
INCOV067-BL,1422
INCOV067-CV,1807
INCOV068-AC,1495
INCOV068-BL,1847
INCOV068-CV,4939
INCOV069-AC,3739
INCOV069-BL,3812
INCOV069-CV,1802
INCOV070-AC,4743
INCOV070-BL,1414
INCOV071-AC,2146
INCOV071-BL,3920
INCOV072-AC,3295
INCOV072-BL,1744
INCOV073-AC,584
INCOV073-BL,815
INCOV073-CV,1160
INCOV074-AC,447
INCOV074-BL,1148
INCOV075-AC,1424
INCOV075-BL,1834
INCOV076-AC,1505
INCOV076-BL,1073
INCOV076-CV,3400
INCOV077-AC,4578
INCOV077-BL,3844
INCOV077-CV,4910
INCOV078-AC,1118
INCOV078-BL,1580
INCOV079-AC,701
INCOV079-BL,1358
INCOV080-AC,845
INCOV080-BL,552
INCOV081-AC,3974
INCOV081-BL,1211
INCOV082-AC,2308
INCOV082-BL,4373
INCOV082-CV,4603
INCOV083-AC,2311
INCOV083-BL,3769
INCOV083-CV,3447
INCOV086-AC,2070
INCOV086-BL,1260
INCOV087-AC,1331
INCOV087-BL,1006
INCOV088-AC,826
INCOV088-BL,944
INCOV090-AC,935
INCOV090-BL,693
INCOV091-AC,1030
INCOV091-BL,1756
INCOV092-AC,1185
INCOV092-BL,1600
INCOV093-AC,1509
INCOV093-BL,1065
INCOV094-AC,1017
INCOV094-BL,1444
INCOV096-AC,771
INCOV096-BL,416
INCOV097-AC,855
INCOV097-BL,569
INCOV098-AC,441
INCOV098-BL,836
INCOV098-CV,2729
INCOV100-AC,1075
INCOV100-BL,1355
INCOV101-AC,577
INCOV101-BL,1494
INCOV102-AC,733
INCOV102-BL,1361
INCOV103-AC,794
INCOV103-BL,778
INCOV104-AC,1828
INCOV104-BL,1935
INCOV105-AC,1040
INCOV105-BL,456
INCOV106-AC,847
INCOV106-BL,1780
INCOV106-CV,1582
INCOV107-AC,756
INCOV107-BL,902
INCOV108-AC,919
INCOV108-BL,582
INCOV109-AC,478
INCOV109-BL,290
INCOV110-AC,804
INCOV110-BL,1187
INCOV111-AC,2010
INCOV111-BL,3198
INCOV112-AC,1961
INCOV112-BL,1597
INCOV113-AC,1678
INCOV113-BL,1763
INCOV114-AC,1334
INCOV114-BL,959
INCOV114-CV,1276
INCOV115-AC,2366
INCOV115-BL,2151
INCOV116-AC,1581
INCOV116-BL,2662
INCOV117-AC,1740
INCOV117-BL,1020
INCOV119-AC,2197
INCOV119-BL,1584
INCOV120-AC,2483
INCOV120-BL,2798
INCOV121-AC,1911
INCOV121-BL,2123
INCOV122-AC,3061
INCOV122-BL,2190
INCOV123-AC,2295
INCOV123-BL,2771
INCOV124-AC,1824
INCOV124-BL,905
INCOV125-AC,1963
INCOV125-BL,2365
INCOV126-AC,2715
INCOV126-BL,2523
INCOV127-AC,1273
INCOV127-BL,661
INCOV128-AC,1869
INCOV128-BL,836
INCOV129-AC,1593
INCOV129-BL,673
INCOV130-AC,1757
INCOV130-BL,646
INCOV131-AC,2260
INCOV131-BL,1002
INCOV132-AC,1530
INCOV132-BL,355
INCOV133-AC,1656
INCOV133-BL,515
INCOV134-AC,887
INCOV134-BL,598
INCOV135-AC,1380
INCOV135-BL,642
INCOV136-AC,813
INCOV136-BL,736
INCOV137-AC,1361
INCOV137-BL,911
INCOV141-AC,4781
INCOV141-BL,1895
INCOV142-AC,853
INCOV142-BL,981
INCOV144-AC,2159
INCOV144-BL,888
INCOV145-AC,30
INCOV145-BL,1463
INCOV147-AC,2990
INCOV147-BL,1858
