sample,genotyper,celltype,gene,TE,seTE,lower,upper,n_cells
INCOV003-BL,hlaminer,CD4 T,A,0.5942243787926821,0.04227088013895974,0.5113749761255115,0.6770737814598526,836
INCOV003-BL,hlaminer,CD14 Monocyte,A,0.7057384261301113,0.031706113462242,0.6435955856543765,0.7678812666058461,1836
INCOV003-BL,hlaminer,pDC,A,0.6273628315446446,0.31203136784433416,0.015792588522980266,1.238933074566309,12
INCOV003-BL,hlaminer,B,A,0.5438037655654887,0.14062397168422505,0.2681858457014273,0.8194216854295502,89
INCOV003-BL,hlaminer,cDC,A,0.4922634493585377,0.14580871741984336,0.20648361458366682,0.7780432841334086,25
INCOV003-BL,hlaminer,NK,A,0.5206166331388977,0.10849799927635193,0.30796446216259515,0.7332688041152002,80
INCOV003-BL,hlaminer,CD16 Monocyte,A,0.652490361845806,0.1884518655709298,0.2831314925073999,1.0218492311842122,33
INCOV003-BL,hlaminer,CD8 T,B,0.9866640255562455,0.12204502684886402,0.7474601684402482,1.225867882672243,55
INCOV003-BL,hlaminer,CD14 Monocyte,B,0.7893494336300471,0.03335870475698476,0.723967573735452,0.8547312935246422,1809
INCOV003-BL,hlaminer,CD4 T,B,1.236112881916032,0.040426934919938186,1.1568775454676086,1.3153482183644556,849
INCOV003-BL,hlaminer,pDC,B,0.6273740420907016,0.22118097018844984,0.1938673064557126,1.0608807777256906,12
INCOV003-BL,hlaminer,B,B,1.1532710774839106,0.1322155895883039,0.894133283696106,1.412408871271715,92
INCOV003-BL,hlaminer,CD16 Monocyte,B,0.8463047478355202,0.17163758370909044,0.5099012653722244,1.182708230298816,37
INCOV003-BL,hlaminer,cDC,B,0.7009708192878045,0.1435650120927721,0.4195885661459139,0.982353072429695,25
INCOV003-BL,hlaminer,NK,B,1.1625175910161711,0.12580180227684007,0.9159505893633357,1.4090845926690065,79
INCOV003-BL,hlaminer,CD8 T,C,1.078533812093215,0.10553048867453273,0.8716978550202189,1.2853697691662112,59
INCOV003-BL,hlaminer,CD4 T,C,1.207912392367393,0.039598121757764726,1.1303014998667422,1.2855232848680436,852
INCOV003-BL,hlaminer,CD14 Monocyte,C,1.4936718037168846,0.03380333472905486,1.427418485090585,1.559925122343184,1846
INCOV003-BL,hlaminer,pDC,C,1.5500876505821397,0.2594611264397302,1.0415531873720756,2.058622113792204,11
